City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sorokyne,48.2923,39.7373,41.05,37,2,7.81,UA,1635169600
Cape Town,-33.9258,18.4232,79.11,52,0,5.99,ZA,1635169399
Saint-Pierre,-21.3393,55.4781,78.48,70,90,9.22,RE,1635169602
Bluff,-46.6,168.3333,52.88,93,100,9.75,NZ,1635169603
Chinchani,19.8667,72.7,79.56,73,0,7.9,IN,1635169603
Butaritari,3.0707,172.7902,81.52,71,9,1.52,KI,1635169604
Kurikka,62.6167,22.4167,47.21,94,100,9.15,FI,1635169605
Bismarck,46.8083,-100.7837,39.2,90,90,12.66,US,1635169521
Dharapuram,10.7333,77.5167,84.04,77,97,5.32,IN,1635169354
Egvekinot,66.3167,-179.1667,0.88,89,65,7.16,RU,1635169607
Santa Marta,11.2408,-74.199,84.34,74,40,0.0,CO,1635169608
Kapaa,22.0752,-159.319,73.72,95,40,11.5,US,1635169609
Duncan,34.5023,-97.9578,54.36,87,1,0.0,US,1635169610
Barrow,71.2906,-156.7887,28.42,86,90,9.22,US,1635169611
Iqaluit,63.7506,-68.5145,28.13,86,75,5.01,CA,1635169613
Vaini,-21.2,-175.2,73.56,83,20,5.75,TO,1635169614
Mataura,-46.1927,168.8643,49.53,99,100,2.1,NZ,1635169616
Qaanaaq,77.484,-69.3632,-3.26,58,3,11.61,GL,1635169616
Hobart,-42.8794,147.3294,49.86,81,90,1.01,AU,1635169618
Chokurdakh,70.6333,147.9167,-17.3,100,93,1.54,RU,1635169618
Cap-aux-Meules,47.3821,-61.8597,50.05,66,20,17.27,CA,1635169620
La Palma,33.8464,-118.0467,62.82,91,75,0.0,US,1635169621
Sinnamary,5.3833,-52.95,81.3,84,38,10.02,GF,1635169622
Opuwo,-18.0607,13.84,94.14,9,12,14.65,NA,1635169623
Acuitzio,20.345,-101.9771,59.65,87,100,3.8,MX,1635169625
Navahrudak,53.6,25.8333,43.41,59,18,11.05,BY,1635169625
Yellowknife,62.456,-114.3525,41.41,90,90,10.36,CA,1635169620
Kalemie,-5.9475,29.1947,86.31,51,52,8.66,CD,1635169627
Kruisfontein,-34.0033,24.7314,69.89,59,0,15.77,ZA,1635169628
Punta Arenas,-53.15,-70.9167,39.31,75,40,29.93,CL,1635169492
Beringovskiy,63.05,179.3167,9.27,79,100,5.19,RU,1635169630
Vardø,70.3705,31.1107,26.8,74,55,10.89,NO,1635169632
Kosa,59.9445,54.9977,28.63,76,60,7.7,RU,1635169633
Albany,42.6001,-73.9662,57.94,95,100,2.64,US,1635169634
Lata,40.1629,-8.3327,73.35,46,41,8.14,PT,1635169635
Kidal,18.4411,1.4078,99.9,13,79,7.07,ML,1635169636
Asău,46.4333,26.4,54.75,45,0,4.43,RO,1635169637
Geraldton,-28.7667,114.6,54.01,87,40,5.75,AU,1635169614
Hermanus,-34.4187,19.2345,69.8,56,34,22.84,ZA,1635169639
